symbol,GSM368661,GSM368662,GSM368664,GSM368665,GSM368666,GSM368667,GSM368668,GSM368670,GSM368671,GSM368673,GSM368674,GSM368675,GSM368677,GSM368678,GSM368679,GSM368680,GSM368681,GSM368682,GSM368683,GSM368685,GSM368689,GSM368690,GSM368691,GSM368692,GSM368693,GSM368694,GSM368695,GSM368696,GSM368697,GSM368698,GSM368699,GSM368700,GSM368701,GSM368703,GSM368704,GSM368705,GSM368706,GSM368707,GSM368708,GSM368709,GSM368710,GSM368711,GSM368713,GSM368714,GSM368715,GSM368716,GSM368717,GSM368719,GSM368720,GSM368721,GSM368722,GSM368723,GSM368724,GSM368725,GSM368726,GSM368727,GSM368728,GSM368729,GSM368730,GSM368731,GSM368732,GSM368734,GSM368735,GSM368736,GSM368737,GSM368738,GSM368739,GSM368740
AAMP,10.12891933,9.420803295,10.23317749,9.319749673,9.916692899,9.57449131,9.485632165,10.43685714,10.12489535,10.13504617,9.393565274,9.885700316,9.954560578,8.929693017,10.66613307,9.335803592,9.99967804,9.86483705,9.660888324,9.88557187,10.42876679,9.212386022,10.21221347,10.02718701,9.180076048,9.665227082,9.867642156,8.759966446,9.893566278,9.58802595,9.173726501,9.599484322,9.360225342,9.960471077,9.301813429,9.226272929,9.724254547,9.643571566,9.797545744,10.10789367,10.02128477,9.861545278,10.59562204,9.908973584,9.550055702,10.24485676,9.131328616,9.479915784,9.914725453,10.33542667,10.42235924,9.613732801,9.91346966,9.540686317,9.231499296,9.663220173,8.990233501,8.749872468,9.800561366,8.992039133,8.891616842,10.12758944,9.666429931,9.218427142,9.329679728,9.451206829,9.784003431,9.330390841
AANAT,4.424289922,3.021471265,3.292089629,3.154884747,4.35699303,3.810449514,2.897127104,3.458951162,3.983982153,3.526021486,6.22657169,2.725729705,2.98484292,3.931477775,2.530452263,2.738920665,3.402814612,3.028192438,3.708148257,2.789250872,3.371734733,4.642946882,3.19473407,3.16233805,4.107739621,2.830707248,4.115539348,3.105681918,4.403970989,2.651131254,1.992338038,3.370625216,3.500006584,2.861981636,2.664573381,4.100835458,4.133690684,2.978265219,2.216381597,6.491731936,4.081512394,2.655828244,4.338279708,4.498361603,5.291793211,3.047888159,4.648013933,2.9571258,4.105729972,2.683476492,4.591280225,5.727864262,3.501033577,3.329600337,4.020783906,5.269065899,5.992020243,3.933097716,4.242988298,3.557409035,2.093440591,3.975681267,3.157099243,2.208049316,5.754159351,3.623946306,3.102532364,5.10760504
AAR2,9.375076757,9.249678715,9.878159513,9.189622491,9.386329982,9.124227125,9.340118796,9.590707427,9.605249711,9.34894401,9.646943747,9.586090348,9.258664078,9.222898536,9.827645224,9.027701091,9.303031585,9.42432707,8.807049223,9.560557356,9.917456007,9.57005183,9.551595204,9.56832862,9.776176259,9.318434541,9.08048407,9.037000827,9.507851043,9.351263825,9.959987156,9.072451314,9.91650759,9.860498804,9.148509653,9.432868893,9.254112998,9.412127407,9.846523219,9.356100112,8.864197663,9.501921834,9.34861273,9.049000681,9.806040467,9.705584895,9.411045016,9.604188244,9.131779443,9.566357131,9.515313011,9.339677877,9.294646744,9.419610737,9.40585038,9.084197726,8.665515056,9.105794911,8.909668715,9.013163078,9.249123192,9.570133862,9.696346769,9.497862589,9.705636968,9.42913411,9.130459375,9.170294981
AARS,10.57976249,10.9114231,10.26377369,10.8804751,10.58431927,10.42771036,10.57551642,11.12623848,10.27097528,10.58675765,10.44353385,10.50667782,10.71398179,10.78389319,10.73746651,10.64342326,10.4009868,10.93174508,10.85804032,10.98160038,10.66101287,10.45604738,10.53458861,10.57530322,10.77915723,11.21770633,10.43206812,11.12058929,10.680139,11.37513944,10.35700073,10.71898962,11.06321402,10.88041166,10.79808472,10.48319184,10.60598081,11.09949311,11.12225632,10.27678818,10.88046598,10.38820436,10.64617619,10.03197241,10.76223559,10.92730682,10.92585071,10.67511285,11.27483998,10.6420347,11.14689206,10.96657081,10.50286249,11.02586665,11.1571548,10.65054333,9.82720614,10.42515576,10.71758932,10.93828698,11.1137922,10.61007083,11.49398409,10.62126495,10.82808772,11.02792199,10.98076051,10.7830016
AASDHPPT,9.485121378,9.535601235,9.825779302,9.619627112,10.73152019,10.07547597,10.24547786,10.284737,10.01580163,10.07300352,9.640727351,10.03819125,10.82196387,9.837356482,10.81031316,11.13717801,10.46289574,10.56078402,9.060210129,10.15296632,10.62359362,10.05521113,10.71755703,9.658306299,10.56065608,9.543680865,10.29980353,9.016133066,10.15987838,9.841780815,10.07680174,9.857479561,8.935360054,11.36088217,9.657062215,9.619285229,9.218494237,9.579934077,9.124357597,9.901245927,9.986939757,10.02923516,8.873396273,9.235876434,9.438818386,8.830894878,8.700368799,9.329499779,9.018522124,10.17744588,9.982467252,9.038105625,9.607758036,10.48017982,9.366423917,10.16409967,10.15625894,9.283109363,9.235420415,9.840386854,9.630080516,10.14002318,8.566596717,9.440245121,9.678537824,10.03076809,9.238155551,9.620735571
AASS,6.337508582,6.280630249,5.307861206,4.579030619,6.780916563,7.337779602,7.157375111,6.152284994,4.068531661,8.603367664,7.540841673,5.280949174,3.410454603,5.413868988,5.59956372,7.120256045,7.277306753,8.094178246,7.026817005,7.808277267,5.217182051,7.091693627,7.763680119,7.272448102,7.241637383,6.973677786,7.811253055,6.323785393,2.866484324,8.390156835,5.457899396,4.385318453,6.301065966,5.742700581,6.82779317,7.045816712,4.660447476,4.0910815,6.310013281,6.75034504,1.547797587,1.496791352,5.108500098,4.42767386,2.219312021,6.666484387,5.028248032,2.672365467,5.354205082,7.043862064,5.801638303,2.938277154,6.07043565,5.499597507,4.82362084,4.639028791,4.115414498,8.117152084,5.201726535,7.373654258,4.566127083,2.125682934,1.711233677,6.231497017,5.87190038,6.929471023,2.408368618,7.211943411
AATF,9.850737924,10.2575173,10.56561663,9.66938737,10.75139512,9.555832762,9.51486087,10.46968343,9.589971763,9.974705024,10.01562906,9.622959902,9.862169875,9.400771409,9.214764391,10.18847453,9.708600183,9.948046587,9.194311608,10.19926918,9.676600088,9.650642503,9.305375154,9.773573528,9.928126137,9.201720032,8.426796316,10.13674429,10.37763795,10.73699269,9.789972954,10.14061106,9.141724242,9.478897099,8.798065649,10.39484364,9.188771468,9.912091093,9.497066621,9.175390983,10.01853825,9.829865254,8.932895413,9.175217223,10.2297151,9.898915913,10.09548556,9.03592169,9.794666213,9.470085388,9.523660337,9.461729267,9.507194793,9.843027258,10.275388,8.727218474,9.021383943,9.693956869,10.22938771,9.812388086,9.359093574,10.61504592,9.515065074,9.238925361,9.709497876,10.07028222,9.486851934,10.11578304
AATK,8.476463505,7.216316598,7.417977707,8.470529233,8.664492145,6.727152808,8.231190053,8.061931651,8.523602573,8.566851943,7.801218898,9.033387635,7.593851649,7.163641519,8.469740699,7.087287967,9.049416082,7.954267225,8.789131433,8.772810404,8.247552361,7.58349162,9.344052369,7.70543287,7.876702671,7.71331104,8.286798657,8.465088123,7.956007159,8.107640737,8.569358367,8.454024483,8.278532692,8.28629002,9.568762861,5.791867597,7.406585286,9.09393111,6.885130588,8.505576366,7.55201429,8.112596682,8.026270609,8.950374933,7.358892798,8.894993745,7.75905237,6.958960632,8.558410534,5.965433268,8.186648826,8.264294786,8.187328344,8.912697316,6.320888506,7.271525223,6.500828298,8.573880486,9.202304419,9.039248534,6.307274323,7.206834379,8.130297906,8.258407186,6.63336142,7.679518391,4.873550632,7.85606823
ABAT,7.664816262,8.115472341,7.476607943,6.126445707,8.282905603,7.181347547,8.206760442,7.435811069,8.865662608,8.881246678,7.585240683,7.729395214,8.776035139,6.889831273,8.384857922,9.100305314,8.378073885,8.043585282,7.23954405,7.96945835,6.852173356,7.672251765,8.185150885,6.570629967,9.10407337,7.640105938,8.781279434,7.798094199,6.58432585,9.847094385,7.996292142,7.357356464,6.317212342,7.844143129,8.096213532,7.793200644,7.138263138,7.64334346,9.543736273,8.377243599,6.243393583,8.259270408,7.444486969,7.541549805,6.179721741,9.915539165,9.161262408,7.744401155,7.071722219,9.528016348,9.058310781,6.864154119,9.498369499,6.395148134,7.271390075,7.09079239,6.604794823,8.033711818,6.26333897,9.044923659,9.589308812,7.543122734,4.027386916,6.204855448,7.952563324,9.371197402,7.862786869,7.150043617
ABCA1,9.667655567,10.47735122,9.106810979,10.11742025,9.571437219,10.02695515,9.9921652,9.381025243,9.624627109,9.411290319,9.730831503,8.991483286,8.704441351,9.970777744,9.561283943,9.888103104,9.30305721,9.136244573,9.973876997,9.29222565,8.463747483,9.611778047,8.753338711,9.509121166,9.783550062,9.3390539,9.621302889,9.078618709,10.29136748,9.045994513,10.0886563,9.596098764,10.21011827,9.407262506,10.67349376,10.46300646,9.843023669,9.523742926,9.324939105,8.853930352,9.210312089,9.203212445,8.619255451,8.721597804,9.803091277,10.5151293,8.277627848,9.19669385,8.654522761,8.831767608,8.914431925,8.806900551,9.24065589,9.369902052,8.873353639,9.344727739,9.034340084,9.926220812,9.509862103,9.467252074,9.277966905,8.404952101,8.660189335,10.29937294,9.477800623,9.533783137,9.950356307,10.11384016
