symbol,GSM642933,GSM642935,GSM642936,GSM642937,GSM642938,GSM642939,GSM642940,GSM642941,GSM642943,GSM642944,GSM642945,GSM642946,GSM642947,GSM642948,GSM642949,GSM642951,GSM642953,GSM642955,GSM642956,GSM642957,GSM642958,GSM642959,GSM642960,GSM642961,GSM642964,GSM642966,GSM642967,GSM642968,GSM642969,GSM642972,GSM642973,GSM642974,GSM642976,GSM642978,GSM642979,GSM642980,GSM642981,GSM642983,GSM642984,GSM642985,GSM642987,GSM642988,GSM642989,GSM642991,GSM642992,GSM642994,GSM642996,GSM642997,GSM642998,GSM642999,GSM643000,GSM643002,GSM643006,GSM643007,GSM643008,GSM643009,GSM643010,GSM643011,GSM643012,GSM643014,GSM643015,GSM643016,GSM643017,GSM643019,GSM643020,GSM643022,GSM643024,GSM643026,GSM643027,GSM643028,GSM643029,GSM643030,GSM643031,GSM643032,GSM643033,GSM643035,GSM643036,GSM643037,GSM643038
RGL4,2.10457,2.07542,2.08896,2.0863,2.08557,2.09976,2.09123,2.11368,2.10375,2.11544,2.09527,2.09222,2.09086,2.14441,2.15,2.102,2.13784,2.09188,2.12207,2.07939,2.16993,2.14365,2.13835,2.10655,2.13388,2.08523,2.12222,2.11913,2.11566,2.1221,2.15312,2.14562,2.12766,2.12951,2.10492,2.14211,2.14087,2.13286,2.13025,2.14187,2.12974,2.13063,2.13729,2.10749,2.14266,2.13143,2.14102,2.1363,2.10089,2.10696,2.09792,2.10402,2.10952,2.15159,2.12087,2.1279,2.13438,2.12933,2.14354,2.08816,2.15663,2.07257,2.10894,2.11022,2.12407,2.12792,2.10848,2.13215,2.15536,2.16398,2.11966,2.13155,2.15629,2.1119,2.15225,2.07932,2.37663,2.15107,2.14628
RGMA,3.95727,7.6115,5.50945,5.2114,6.5088,4.71089,5.45098,6.23176,4.55271,4.98797,5.66866,5.16319,4.13543,4.46698,5.48238,6.38863,4.29236,4.12343,5.93945,7.7597,5.81863,6.6691,4.61339,7.12043,6.08597,4.27875,3.17936,4.95362,5.12648,4.24166,4.17887,7.86625,4.15106,4.17834,4.05558,5.14567,4.60765,6.15551,5.45441,4.16287,4.22917,4.28682,6.34627,4.22919,4.09158,4.12901,4.08898,6.28946,7.82061,6.31165,4.93019,5.64664,5.81733,4.11837,5.41657,5.47841,4.04979,4.14856,3.98624,4.13723,6.87843,6.93548,4.1143,6.09735,4.87946,5.29817,6.97048,4.36501,4.30439,5.19767,5.62544,4.01853,4.27663,7.05975,4.2239,6.43961,6.49694,5.29416,4.19688
RGMB,7.48915,7.17322,7.27804,7.48924,6.65916,6.29682,8.1617,7.82522,7.66882,7.53837,7.57203,7.47958,8.56491,7.09875,7.15779,8.37084,8.10129,6.86417,7.35414,8.24207,6.77049,6.46062,6.69805,8.43197,3.91668,7.12464,7.71847,7.00181,7.97459,6.31682,5.67834,8.40645,8.67945,7.84818,6.48594,6.54896,8.86514,6.14844,9.02177,8.30214,7.58127,5.66075,5.85807,7.09174,6.19595,8.00746,4.38553,7.16597,9.78243,7.54376,6.12331,8.41427,6.81875,6.99873,6.89675,8.60735,5.84384,8.04986,8.58917,7.2492,6.72517,7.18046,6.85902,7.63448,7.34838,6.99737,5.74276,7.33713,5.79201,8.22657,6.86008,8.42813,7.43085,6.31916,7.54508,7.75363,8.41011,6.97564,7.29642
RGMB-AS1,2.23824,2.19916,2.24051,2.1861,2.21371,2.32817,2.24344,2.22017,2.2502,2.22899,2.25755,2.23251,2.20692,2.29924,2.27369,2.26562,2.158,2.206,2.23309,2.27253,2.31479,2.27043,2.3093,2.24779,2.34037,2.21634,2.23131,2.24935,2.28304,2.29666,2.29049,2.25235,2.32898,2.30891,2.20161,2.33731,2.24422,2.2633,2.31706,2.26329,2.31774,2.22376,2.27161,2.22811,2.29586,2.29762,2.33701,2.23044,2.29228,2.27679,2.22786,2.38848,2.23182,2.31399,2.26538,2.26162,2.26353,2.29271,2.36172,2.22193,2.29695,2.29922,2.2561,2.22568,2.26538,2.28419,2.23338,2.30937,2.29342,2.33653,2.2686,2.2906,2.31962,2.30605,2.29443,2.1888,2.26623,2.29447,2.28992
RGN,2.02379,3.21247,3.27889,3.59584,3.91009,4.16256,2.03616,3.65609,3.38297,3.24233,3.05782,3.13329,2.27912,4.79405,3.19244,5.46736,3.46562,5.28272,5.84999,3.82033,4.96104,3.86286,4.14966,2.46764,5.6645,2.67681,4.20396,2.55238,3.63473,2.36514,4.45037,3.77594,2.42979,4.97262,4.41621,2.90286,3.09965,4.48608,3.34081,2.0217,2.00972,3.42956,5.60317,4.47949,6.66296,3.77304,4.51202,6.68229,6.77529,4.78533,3.22604,4.41973,2.67616,4.47773,3.46367,3.48696,2.89882,3.43694,2.80207,3.66756,3.23982,3.40731,4.55115,4.25794,3.32672,2.00986,4.97386,5.63918,3.54635,4.90603,2.5962,6.53566,5.35023,3.29639,4.45856,2.30748,3.44862,2.09257,2.88797
RGP1,5.52521,6.50122,6.8976,5.28045,5.5107,6.07007,5.30547,5.49552,6.35495,6.56176,4.88138,5.56326,5.89822,5.05872,5.0813,5.17928,5.41441,5.95245,5.82765,5.45052,5.03327,4.91117,5.05875,6.0942,5.43543,6.39912,6.12035,6.05585,5.64973,5.86817,5.88544,5.42009,5.36313,5.77794,6.06706,5.23029,5.10557,6.23723,5.44313,5.53766,5.56772,5.60794,5.26221,4.90467,5.15051,6.325,4.0551,4.97379,5.48088,5.67333,5.87048,5.84394,5.8049,4.05384,5.95708,5.52634,5.44755,5.90163,6.57796,6.17488,5.20289,4.91512,5.33344,4.60362,6.02743,4.96393,4.78555,6.85462,4.29784,6.35803,5.51519,5.90012,5.20842,5.24479,5.83477,5.41648,5.37879,5.74679,6.09611
RGPD4-AS1,2.7802,2.69966,2.86573,2.71969,2.80768,2.82387,2.83234,2.81803,2.81778,2.85475,2.84288,2.7642,2.7688,3.53587,2.81483,2.99203,2.63426,2.73165,2.82133,2.8699,3.01095,2.77803,3.05535,2.79573,2.75932,3.00847,2.93646,2.83448,2.81318,2.87099,2.87124,2.80193,2.88533,2.84877,2.84021,3.46043,2.83071,2.89303,2.97622,2.84547,2.72331,2.78948,2.85418,2.78174,2.8611,2.8484,2.8452,3.08031,2.84553,2.78275,2.76932,3.02031,2.77419,2.95407,2.89077,2.85873,2.91544,2.86177,3.08387,2.84771,2.80518,2.88871,2.79936,2.83874,2.74679,2.82977,2.7847,2.84375,2.83231,2.9629,2.94337,2.76079,2.89231,2.86297,2.80519,3.04306,2.84722,3.05317,2.84662
RGR,2.33128,2.33382,2.35207,2.3139,2.31685,2.32087,2.37538,2.32236,2.33016,2.33484,2.35101,2.32985,2.33126,2.39936,2.34727,2.41314,2.37497,2.30223,2.89431,2.2856,2.35166,2.34773,3.02079,2.35203,2.33179,2.36717,2.30402,2.40668,2.32543,2.37546,2.35582,2.3371,2.40457,2.39565,2.38455,2.38262,2.36153,2.43955,2.39726,2.86587,2.30285,2.29081,2.35285,2.30804,2.35007,2.35588,2.36202,2.33036,2.33997,2.32672,2.31878,2.57819,2.44507,2.48932,2.35954,2.34327,2.40352,2.38331,3.22297,2.34305,2.34727,2.47207,2.32182,2.34897,2.29995,2.35781,2.2979,2.36306,2.74793,2.35376,2.36561,2.31569,2.41214,2.37231,2.35182,2.33901,2.33842,2.38619,2.3264
RGS1,9.05367,9.46744,10.3442,11.0979,9.24542,7.83167,10.355,5.25315,9.40543,12.2641,9.16235,9.7405,8.30082,9.22753,11.0313,9.59465,11.609,10.7332,8.14773,6.78302,8.3979,8.0278,11.3173,9.11917,10.2278,9.70621,8.03835,10.3244,10.9589,11.0557,9.3733,5.548,8.80106,11.232,10.6005,9.70381,9.87637,9.84911,8.11225,7.65841,9.76787,10.6852,10.8017,9.26133,7.4003,9.21002,12.2283,9.15986,3.51819,10.2557,9.29946,9.68263,11.0962,7.99846,11.0369,10.9205,12.1314,8.60035,8.72711,11.5156,10.0891,7.12751,10.5747,8.15423,6.87789,10.1941,11.5895,8.3574,10.3712,9.7359,11.4534,7.75687,8.78137,9.72329,8.35617,10.911,10.7661,9.82,9.26474
RGS10,7.66103,10.6072,8.58517,9.41464,9.80822,8.10477,8.79288,9.99402,9.49897,9.24396,8.55846,11.0641,8.83212,9.50065,8.14437,9.11076,8.0675,7.06794,7.96951,10.5004,7.96454,9.37506,7.40641,8.71047,8.31353,9.94884,7.69874,8.05392,8.90434,10.5228,8.29783,8.16062,9.47895,9.0351,8.09409,9.10853,9.54249,10.9655,7.87934,5.51418,8.13692,8.85682,8.92228,8.49459,8.10745,8.51418,8.35384,8.1376,5.81218,7.91816,9.03785,8.69213,7.67754,8.87653,8.4451,7.88927,8.37987,7.6552,7.62767,8.2258,10.1641,8.23626,9.69467,9.86889,7.61113,8.75086,9.40872,8.49768,9.67719,9.0535,8.42784,8.05833,9.93816,8.91658,8.98278,7.87686,9.40783,8.9176,7.40963
