probe	symbol
102783	HTATIP2
102786	RTEL1
102788	SRM
102789	CFAP161
102820	C6
102824	MINK1
102828	PPP2R1A
102836	ADGRD1
102841	SRP9
102845	APTX
102848	MFHAS1
102862	TEX9
102875	PRELID1
102878	PDE7B
102888	WBP4
102896	NRIP3
102899	RABEP1
102904	DIAPH1
102907	INTS8
102910	DNAJB12
102914	GABRD
102915	BLK
102916	ZNF662
102924	ALOX12
102926	SERPINE1
102937	PNRC1
102959	KHDRBS3
102967	ATP2B1
102971	SLC29A2
102972	LIN7B
102973	KCNN2
102988	FANCL
102999	CCDC144A
103002	FLNC
103003	MYO1A
103010	RCHY1
103013	LRIG2
103021	MYCBP2
103022	PTGFR
103034	API5
103043	ATAD5
103069	CTNND1
103080	STKLD1
103097	RPL39
103100	PDLIM5
103105	RHOBTB3
103109	HOOK2
103111	C22orf23
103113	USE1
103152	HDX
103153	BRSK2
103159	CYSLTR2
103164	IL12A
103185	HNRNPUL1
103206	DDX17
103211	ARMC6
103225	FUCA2
103227	ACOT12
103235	PLEKHH2
103239	PPP2R2B
103254	IRS4
103273	GINS3
103288	OR52H1
103297	TULP2
103301	RHBDF1
103306	COMP
103310	DNER
103318	VASH2
103341	ABHD14A
103344	TAF1L
103350	DCXR
103367	VCX3A
103382	LDLR
103392	TDP2
103395	CTAGE1
103396	MAML2
103403	ADRA1D
103404	ABCC2
103406	BTN2A2
103415	EXOSC1
103418	PMS2
103423	UQCR11
103430	CLEC4G
103431	CDC26
103440	ADCY10
103441	SAYSD1
103444	IL17RC
103451	CHMP1B
103457	KHNYN
103458	SOX7
103461	HIST1H2BF
103463	PEX16
103474	B3GNT9
103475	VPS53
103476	SETD2
103481	TSR1
103492	SNX7
103516	FAM65A
103520	PRMT3
103522	KIAA0040
103524	ZNF560
103532	SPATA18
103547	GPC3
103552	HECW2
103554	CLDN12
10355470	ZNF468
103558	THPO
103562	ACRV1
103563	AGBL3
103564	WNT1
103567	GHSR
103579	UFL1
103586	APOBEC4
103587	FGFBP2
103589	CXCR3
103604	PRKD2
103612	DYNC1LI2
103613	MUC20
103617	AZI2
103618	DNAJB4
103625	KHDRBS1
103627	MAGEB6
103640	TAS2R40
103641	PWP2
103644	GSKIP
103651	GOPC
103659	SLC26A5
103666	NRAS
103677	CAPN15
103678	SSTR3
103682	AP1M1
103690	ABCF2
103693	C2orf47
103694	HMGB1
103696	HSPA4L
10370245	STUM
103703	PHKA1
103705	UCHL3
103717	CTSZ
103720	TRIP12
103746	ZNF79
103752	AMOTL2
103754	IGSF6
103764	EMSY
103769	RANBP6
103775	AUNIP
103786	ISLR
103792	OR13H1
103793	FAHD1
103802	AXDND1
103810	SLC15A4
103813	OLFML3
103829	BEND6
103843	ARID1B
103851	INIP
103866	CAPN5
103867	ZNF83
103870	SLC12A6
103875	N6AMT1
103877	KCTD20
103883	CCDC117
103885	NEK10
103888	CYP3A4
103896	ZNF239
103910	C9orf78
103913	CAMTA1
103918	CATSPERB
103919	PIK3CD
103921	PLPPR1
103928	FAM101B
103931	ADNP
103950	FCER2
103958	BEST3
103970	MIGA2
103975	NKX2-2
103999	LITAF
104009	GABPB1
104013	SGPL1
104033	OLFM3
104054	CDC42EP3
104059	ELAC2
104062	BIRC5
104079	DPH2
104081	IP6K3
104096	DNAJC30
104099	CEP89
104115	VPS4B
104116	ZMAT3
104119	FJX1
104123	C10orf12
104128	HOMER1
104131	PDIA3
104139	SDHAF4
104142	AGO1
104157	PEMT
104158	DSC3
104166	CDC42SE2
104172	ADAMTS13
104186	FAM181A
104189	NNT
104196	PSME2
104200	TRAPPC2
104207	PHF20
104213	ZNF274
104215	CAPN6
104218	VSX2
104220	RPH3AL
104225	HSD17B12
104245	PSMC5
104254	PTDSS1
104259	NIPA2
104260	MRPL57
104276	CLEC4E
104280	GMEB2
104287	ZNF100
104294	SLC1A2
104309	MAPK15
104322	TRIP11
104328	SMARCA1
104331	SNX29
104341	FAU
104346	PINX1
104351	PRIM2
104353	TP53TG5
104360	SH2D2A
104372	IK
104377	MTA1
104379	IFNA17
104384	F13A1
104387	PAK2
104402	KLF10
104424	TRPC4
104427	ENY2
104431	MRPS18B
104447	FOLH1
104454	MYH13
104456	RPS8
104458	ELAC1
104469	FAM129C
104475	WIF1
104484	FAM98B
104490	TCF4
104499	KRT9
104504	SERPINA1
104510	TPRG1
104511	UPRT
10452548	BTLA
104531	CDR1
104539	CLEC1A
104547	TMUB2
104549	SYDE1
104557	ARSB
104562	VPS4A
104566	ZC3H14
104572	KIF27
104577	CYP4V2
104588	NUDT14
104594	RPS3A
104610	PYGM
104615	PIK3AP1
104621	RNF146
104627	FAM204A
104634	CAPSL
104638	SMS
104641	PAN3
104648	SLC10A1
104651	WIPF2
104667	UBE2E1
104683	SRSF3
104690	SMNDC1
104697	DPM2
104701	TEX12
104708	ARMC4
104709	GJB1
104711	CEP95
104723	BCL2L12
104741	GALNT2
104742	CHAF1A
104743	GIT2
104745	INPP4B
104750	LRRFIP1
104760	BSPRY
104762	LENG1
104764	MVB12A
104770	BEX2
104771	IL18RAP
104774	MRS2
104777	ATP6V1C2
104782	ADSL
104785	PAPPA2
104791	ZNF182
104824	IPO11
104861	UFD1L
104870	PDXDC1
104878	PGK2
104890	ADO
